"Species","Common Name","Range","Venom Type","Habitat"
"Crotalus thalassoporus","Thalassoporus Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus exiguus","Exiguus Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus pricei","Price's Rattlesnake","Southern U.S. and Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus tortugensis","Tortuga Rattlesnake","Tortuga Island","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus armstrongi","Armstrong's Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus catalinensis","Catalina Island Rattlesnake","Catalina Island","California","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus transversus","Transverse Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus ehecatl","Ehecatl Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus campbelli","Campbell's Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus mictlantecuhtli","Mictlantecuhtli Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus angelensis","Angel Island Rattlesnake","Angel Island","California","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus polystictus","Polystictus Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus intermedius","Intermediary Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus morulus","Morulus Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus stephensi","Stephens' Rattlesnake","Western U.S.","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus tzabcan","Tzabcan Rattlesnake","Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus brunneus","Brown Rattlesnake","Central Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus lorenzoensis","Lorenzo's Rattlesnake","Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
"Crotalus vegrandis","Vegrandis Rattlesnake","Mexico","Hemotoxic","Grasslands, rocky hillsides, Neurotoxic and hemotoxic, rocky, rocky desert regions, highly potent, Coastal sage scrub, Grasslands, hemotoxic, Deserts, Grasslands, and Northern Mexico, Neurotoxic and hemotoxic, Forests, highly dangerous, Forests, potentially lethal, rocky desert environments, Forests, Arid, Grasslands, Grasslands, Grasslands, Forests, Grasslands, Grasslands, Mixed conifer forests, Isolated dry areas, Forested regions, Hemotoxic, Grasslands, Forests, Grasslands, Forests, Hemotoxic, Grasslands, Grasslands, Grasslands, Rocky hillsides, Grasslands, Grasslands, Grasslands, Grasslands, deserts, deserts, Deserts, mountainous areas, Deserts, deserts, prairies, dangerous, grasslands, forests, Hemotoxic, potent, rocky hillsides, Pine forests, grasslands, Dry forests, grasslands, rocky areas, forests, deserts, forests, grasslands, forests, forests, Island habitat, forests, grasslands, forests, grasslands, Isolated rocky areas, forests, forests, forests, forests, forests, forests, forests, forests, forests, loose sandy regions, grasslands, deserts, Grasslands, Forested mountains, Desert scrub, coastal dunes, savannas, forests, savannas, rocky slopes, scrublands"
